distrito,cargo,agrupacion_politica,lista,votos
Rio negro,Diputado nacional,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y TRABAJADORES - UNIDAD - B - UNIDAD DE LUCHADORES Y LA IZQUIERDA,4224
Rio negro,Diputado nacional,JUNTOS SOMOS RIO NEGRO,JUNTOS SOMOS RIO NEGRO - A - SIGAMOS CRECIENDO,36762
Rio negro,Diputado nacional,VOTOS NULOS,VOTOS NULOS,9741
Rio negro,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Rio negro,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Rio negro,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,53990
Rio negro,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,418499
Salta,Diputado nacional,MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA - A,2062
Salta,Diputado nacional,MOVIMIENTO LIBRES DEL SUR ,AZUL Y ROJO - A,9119
Salta,Diputado nacional,POLÃTICA OBRERA,UNIDAD OBRERA - A,4849
Salta,Diputado nacional,SI - SALTA INDEPENDIENTE,POR UNA SALTA INDEPENDIENTE - A,16897
Salta,Diputado nacional,VOTOS NULOS,VOTOS NULOS,7089
Salta,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Salta,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
Salta,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,84211
Salta,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,733440
San luis,Diputado nacional,VOTOS NULOS,VOTOS NULOS,4057
San luis,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
San luis,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
San luis,Diputado nacional,VOTOS BLANCO,VOTOS EN BLANCO,33471
San luis,Diputado nacional,VOTOS TOTALES,VOTOS TOTALES,295725
Santa cruz,Diputado nacional,VOTOS NULOS,VOTOS NULOS,2098
Santa cruz,Diputado nacional,VOTOS RECURRIDOS,VOTOS RECURRIDOS,0
Santa cruz,Diputado nacional,VOTOS IMPUGNADOS,VOTOS IMPUGNADOS,0
